Feature,Importance
H3K4me1_TSS_bin20,0.05037322
H3K4me_TSS_bin20,0.046785932
H3K4me1_TSS_bin08,0.025517307
H3K4me1_TSS_bin05,0.022678472
H2B.Z_TSS_bin09,0.01337202
H2B.Z_TSS_bin10,0.012356918
H3K4me1_TSS_bin19,0.011525911
H3K18ac_TSS_bin09,0.011276424
H3K4me_TSS_bin19,0.010822437
H2A.Zac_TSS_bin05,0.010019208
H2A.Z_TSS_bin08,0.009239865
H2B.Z_TSS_bin20,0.00896336
H2A.Z_TSS_bin20,0.00781711
H3K4me2_TSS_bin09,0.0065629026
MNase_TSS_bin16,0.006019766
H3K36me3_TSS_bin20,0.005911125
H3K18ac_TSS_bin12,0.0058136745
H2B.Z_TSS_bin11,0.005690523
H3R17me2_TSS_bin18,0.005367752
MNase_TSS_bin09,0.005244271
H3K18me_TSS_bin19,0.005224388
H3K4me1_TSS_bin09,0.0052187094
H2A.Z_TSS_bin19,0.005153293
H2B.Z_TSS_bin08,0.005145281
H2B.Z_TSS_bin12,0.0051384256
H3K4me1_TSS_bin07,0.005126853
H3K4me_TSS_bin07,0.0051085805
H3K4me1_TSS_bin03,0.0051010246
H3K27ac_TSS_bin14,0.0049628373
H2A.Zac_TSS_bin13,0.004821854
H2A.Zac_TSS_bin07,0.004781502
H3K18ac_TSS_bin14,0.004735497
H2A.Zac_TSS_bin11,0.004654886
H3K4me_TSS_bin10,0.004634202
H3K4me2_TSS_bin20,0.0046337727
H3K18ac_TSS_bin17,0.004596834
H3K18me_TSS_bin16,0.0044800215
H3K27ac_TSS_bin04,0.004448166
H2B.Z_TSS_bin19,0.004421968
H2A.Zac_TSS_bin08,0.0044044442
H2B.Z_TSS_bin18,0.0043674274
H3_TSS_bin20,0.004331843
H3K27me_TSS_bin08,0.004244251
H3K18ac_TSS_bin05,0.0042118733
H3K18me_TSS_bin09,0.0042097117
H3_TSS_bin18,0.0041850945
H3K4me1_TSS_bin04,0.004163879
H3_TSS_bin19,0.004134829
H3_TSS_bin08,0.0040712226
H3_TSS_bin01,0.004052222
H3K18me_TSS_bin18,0.0040515675
H2A.Zac_TSS_bin12,0.0039963946
H2A.Z_TSS_bin10,0.0039626164
H2B.Z_TSS_bin06,0.0037453477
H3K4me1_TSS_bin16,0.003709757
H2A.Z_TSS_bin07,0.0036996289
H3K36me3_TSS_bin16,0.0036964384
H3K27ac_TSS_bin05,0.0036918304
H3K27me_TSS_bin07,0.003689862
H3K4me2_TSS_bin02,0.0036568376
H2A.Zac_TSS_bin15,0.0036243433
H3R17me2_TSS_bin10,0.0035298793
H3R17me2_TSS_bin01,0.003508438
H3K27me_TSS_bin09,0.0034910145
H3K27ac_TSS_bin16,0.0034783392
H3K4me2_TSS_bin08,0.0034780016
H2A.Zac_TSS_bin16,0.0034466847
H3K4me_TSS_bin04,0.003439735
H3K36me3_TSS_bin19,0.003375582
H3_TSS_bin07,0.00337227
H3K18ac_TSS_bin16,0.0033348491
H3K4me_TSS_bin01,0.0032746217
H3R17me2_TSS_bin08,0.0032329564
MNase_TSS_bin17,0.0032137744
H3K4me_TSS_bin18,0.003195388
H3K4me2_TSS_bin10,0.0031589074
H3K4me2_TSS_bin01,0.0030561194
H3R17me2_TSS_bin16,0.0030481147
H3K4me1_TSS_bin18,0.0030408336
H3K18ac_TSS_bin13,0.003037248
H3K18ac_TSS_bin15,0.0030171243
H3K4me_TSS_bin16,0.0030168104
H3K18ac_TSS_bin04,0.0029880235
H3K36me3_TSS_bin17,0.0029745689
MNase_TSS_bin10,0.0029612447
H3K36me3_TSS_bin03,0.0029526684
H3K9ac_TSS_bin06,0.0029481375
H3_TSS_bin06,0.0029277676
H3K18ac_TSS_bin20,0.002916216
MNase_TSS_bin11,0.0028851666
H2A.Zac_TSS_bin20,0.0028807227
H3K27ac_TSS_bin15,0.0028687005
H3K4me1_TSS_bin02,0.0028234227
H3_TSS_bin03,0.0028232592
H3K18me_TSS_bin17,0.002810627
H3K27ac_TSS_bin20,0.0028090398
H3K27ac_TSS_bin18,0.0027979808
H3K9ac_TSS_bin04,0.002786927
H2B.Z_TSS_bin13,0.0027336667
H3K18me_TSS_bin15,0.0026881932
