,importance
H3K4me1_TTS_bin03,0.12449345
H3K18me_TTS_bin02,0.028525539
H3K18me_TTS_bin04,0.018049518
H3K36me3_TTS_bin04,0.017890181
H3K9ac_TTS_bin08,0.015858373
H2B.Z_TTS_bin03,0.0150524825
H3K4me_TTS_bin05,0.014315926
H3K4me_TTS_bin03,0.012142694
ATAC_TTS_bin05,0.01204359
H3_TTS_bin01,0.011776929
H2B.Z_TTS_bin04,0.010859022
H2B.Z_TTS_bin05,0.010635872
H3K4me_TTS_bin04,0.010538217
H3K4me_TTS_bin02,0.01036098
H3K4me_TTS_bin01,0.01005602
H3K9ac_TTS_bin09,0.009222431
H3K4me1_TTS_bin02,0.009043801
H3K4me1_TTS_bin20,0.0087973345
MNase_TTS_bin08,0.008762531
H2B.Z_TTS_bin02,0.008430962
ATAC_TTS_bin10,0.0083182845
H3K18me_TTS_bin15,0.0074656517
H2B.Z_TTS_bin06,0.007232947
MNase_TTS_bin09,0.007223924
H3_TTS_bin19,0.007208823
H3_TTS_bin11,0.007101204
H2A.Z_TTS_bin02,0.006933351
H2B.Z_TTS_bin01,0.006584241
H3K18me_TTS_bin01,0.0065183262
MNase_TTS_bin11,0.006231294
H3K27me_TTS_bin18,0.0061203837
H3K27ac_TTS_bin04,0.0060384143
H3_TTS_bin10,0.006022866
ATAC_TTS_bin06,0.0059970054
H3_TTS_bin02,0.005996089
H3K27ac_TTS_bin08,0.0058942265
H2B.Z_TTS_bin07,0.005866937
MNase_TTS_bin20,0.0057292604
H3K36me3_TTS_bin05,0.0056437417
H3K4me1_TTS_bin01,0.00559166
H3_TTS_bin20,0.005577894
H3K18me_TTS_bin19,0.005574528
H3K27me_TTS_bin10,0.0055024377
H3K18me_TTS_bin17,0.005439404
H3K4me1_TTS_bin10,0.005410887
H3K4me1_TTS_bin19,0.005370793
H3K18me_TTS_bin05,0.005368014
H3K27ac_TTS_bin03,0.005028503
H2A.Zac_TTS_bin08,0.0050271843
H3K27ac_TTS_bin02,0.0049990052
H3R17me2_TTS_bin11,0.0049174074
ATAC_TTS_bin01,0.0048631127
ATAC_TTS_bin11,0.004862415
H3_TTS_bin09,0.004842575
H3K27me_TTS_bin19,0.0046863263
H3K4me1_TTS_bin09,0.004681546
H2B.Z_TTS_bin08,0.0046337275
ATAC_TTS_bin12,0.004584988
H2B.Z_TTS_bin09,0.0045826295
H3K27me_TTS_bin05,0.0045055756
H3K9ac_TTS_bin12,0.004474801
H3K4me_TTS_bin20,0.0044179163
H3K18me_TTS_bin16,0.0044049346
H3K27me_TTS_bin20,0.0043409304
H3K4me3_TTS_bin05,0.004270583
H3K4me_TTS_bin10,0.0042676725
H3K4me1_TTS_bin11,0.004254034
H3R17me2_TTS_bin10,0.0041938783
ATAC_TTS_bin04,0.0041567264
H3K9ac_TTS_bin11,0.0041236645
H3K36me3_TTS_bin06,0.004112741
H3_TTS_bin13,0.0041067554
H2A.Z_TTS_bin05,0.00410105
H2A.Zac_TTS_bin01,0.0040768185
H3K27ac_TTS_bin07,0.0040195826
H3K18me_TTS_bin06,0.0040126443
H3K4me_TTS_bin06,0.0040001385
ATAC_TTS_bin02,0.0039638584
H3K36me3_TTS_bin01,0.0039183022
ATAC_TTS_bin08,0.0038976562
MNase_TTS_bin16,0.003884061
MNase_TTS_bin10,0.003882827
H3_TTS_bin12,0.0038717976
H3K27me_TTS_bin15,0.0038498042
ATAC_TTS_bin19,0.0038479608
H3K4me2_TTS_bin09,0.0038381391
H3K27me_TTS_bin11,0.0038247453
H3K18me_TTS_bin20,0.0038080127
H3_TTS_bin14,0.003736768
H3K36me3_TTS_bin20,0.0037238922
H3K4me2_TTS_bin01,0.0037238586
H3K18me_TTS_bin18,0.0037015239
H3K18me_TTS_bin03,0.0037004235
H3_TTS_bin18,0.0036274088
H2A.Z_TTS_bin03,0.003616871
H2A.Zac_TTS_bin09,0.003601406
H3K36me3_TTS_bin02,0.0035799276
MNase_TTS_bin01,0.003576888
ATAC_TTS_bin20,0.0035709625
H2A.Zac_TTS_bin17,0.003570532
H3K27me_TTS_bin09,0.0035382558
H3K4me_TTS_bin13,0.0035321633
MNase_TTS_bin12,0.0035277358
H3K4me2_TTS_bin03,0.00351902
H3K4me_TTS_bin09,0.003452765
H2B.Z_TTS_bin13,0.0034384336
H2B.Z_TTS_bin12,0.0034381868
H3K4me_TTS_bin15,0.0033331905
H2A.Zac_TTS_bin12,0.0033016915
H3K4me3_TTS_bin06,0.0032956533
H3K4me1_TTS_bin15,0.0032725988
H3K4me3_TTS_bin02,0.003189014
H3K36me3_TTS_bin15,0.0031584396
H3K9ac_TTS_bin07,0.003123935
ATAC_TTS_bin07,0.0031196773
H3R17me2_TTS_bin01,0.0031020308
H3K4me2_TTS_bin17,0.0030526135
H3K18ac_TTS_bin02,0.0029781759
H3K4me2_TTS_bin02,0.0029764771
ATAC_TTS_bin18,0.0029723628
H3K4me1_TTS_bin06,0.0029448883
H3K36me3_TTS_bin03,0.0029242034
H3K4me2_TTS_bin11,0.0029087758
H3K4me3_TTS_bin09,0.0029082787
H3K27ac_TTS_bin05,0.0028902176
H3_TTS_bin15,0.0028579065
H3K36me3_TTS_bin19,0.0028284246
H3K4me3_TTS_bin03,0.002816845
H3K27me_TTS_bin01,0.0028148028
H2B.Z_TTS_bin16,0.002809892
H3K4me3_TTS_bin10,0.002754056
MNase_TTS_bin03,0.0027525697
H3K4me3_TTS_bin13,0.0027463208
H3K4me2_TTS_bin18,0.0027307908
H3K9ac_TTS_bin02,0.0026938105
H3K36me3_TTS_bin10,0.002689849
H3K27ac_TTS_bin06,0.002627821
H3K4me1_TTS_bin08,0.0025914907
H3K4me_TTS_bin11,0.0025648903
H3R17me2_TTS_bin09,0.0025512173
H3K4me2_TTS_bin05,0.002543795
H2A.Z_TTS_bin10,0.0025408536
H3K4me2_TTS_bin04,0.0025036994
H2A.Zac_TTS_bin04,0.0024984821
H3_TTS_bin04,0.0024981005
H3K4me_TTS_bin19,0.0024971194
H3K9ac_TTS_bin18,0.0024952944
MNase_TTS_bin19,0.0024933885
H3K36me3_TTS_bin17,0.002486224
H2A.Z_TTS_bin12,0.0024724086
H3K27me_TTS_bin03,0.0024424423
H3K18me_TTS_bin08,0.0024298513
H3K4me1_TTS_bin07,0.002411892
H3K18ac_TTS_bin10,0.0024005068
H3R17me2_TTS_bin19,0.0023795168
ATAC_TTS_bin14,0.0023717787
MNase_TTS_bin05,0.0023264773
H3_TTS_bin06,0.0023249604
ATAC_TTS_bin17,0.0023136158
H3K18me_TTS_bin09,0.0022676846
H3K27me_TTS_bin17,0.0022676338
H2A.Zac_TTS_bin15,0.002251911
H3R17me2_TTS_bin08,0.0022445056
H3K4me3_TTS_bin12,0.002217166
H2A.Z_TTS_bin11,0.0022060673
H3K9ac_TTS_bin03,0.0022043441
H3K27ac_TTS_bin10,0.0021964554
H2B.Z_TTS_bin17,0.0021860607
H3K18ac_TTS_bin04,0.0021852117
H3K4me3_TTS_bin07,0.0021618907
H3K27ac_TTS_bin19,0.0021532727
H3K4me3_TTS_bin04,0.0021472995
H3R17me2_TTS_bin20,0.002141561
H3K18ac_TTS_bin01,0.0020351782
H3K18me_TTS_bin10,0.0019498578
H2A.Zac_TTS_bin10,0.001945567
H3K9ac_TTS_bin13,0.0019296427
H3K27ac_TTS_bin09,0.0019193813
H3K27me_TTS_bin12,0.0019132071
H3K4me2_TTS_bin20,0.0019117455
H3K27ac_TTS_bin01,0.0018913349
H3K18me_TTS_bin14,0.0018900648
H3_TTS_bin08,0.0018620858
H2B.Z_TTS_bin15,0.0018450588
H2A.Z_TTS_bin08,0.0018149468
H3_TTS_bin05,0.0017927411
ATAC_TTS_bin03,0.0017702759
H3K9ac_TTS_bin19,0.0017546706
H2B.Z_TTS_bin19,0.001754383
H3K4me1_TTS_bin14,0.0017514611
H3K18ac_TTS_bin16,0.0017449656
H3K36me3_TTS_bin12,0.0017193013
H3K9ac_TTS_bin06,0.0017134831
H3K27ac_TTS_bin15,0.0016867378
H3K4me1_TTS_bin04,0.0016517036
H2A.Z_TTS_bin18,0.001610775
H2A.Z_TTS_bin17,0.0015493231
H3K18ac_TTS_bin03,0.001397612
H3K27me_TTS_bin07,0.0013143297
H3K4me1_TTS_bin18,0.0012032749
