n_estimators,max_depth,min_samples_leaf,max_features,mean_recall,std_recall
400,12.0,1,sqrt,0.8695328737112984,0.011830216727292574
300,12.0,1,sqrt,0.8680462532950447,0.010480235327217374
400,12.0,2,sqrt,0.8676103725143285,0.009045544491548091
300,12.0,2,sqrt,0.8675606563826325,0.009981809502842734
400,,2,sqrt,0.8660239955990416,0.011669036120602166
300,,2,sqrt,0.8653299151691483,0.01301475568395772
400,12.0,2,log2,0.8652606368204158,0.012328484695283437
300,12.0,2,log2,0.8648642047094146,0.011863675862796212
300,,2,log2,0.8648244318040579,0.013052608869752723
400,,2,log2,0.8646262157485575,0.012570541621652696
300,12.0,1,log2,0.8643285674296651,0.014502324746832463
400,,1,sqrt,0.8639122488659858,0.014447134498743684
400,12.0,1,log2,0.8635850951037176,0.014822865524084815
300,,1,sqrt,0.8617514344725172,0.014065046561172904
400,,1,log2,0.8608094218554276,0.016412135484309545
300,,1,log2,0.8594514149103002,0.016891904699259577
